TEAM,GP,W,L,WIN%,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
Toronto Raptors,30,23,7,0.767,48.5,115.6,43.6,89.9,48.5,11.6,33.6,34.6,16.7,20.8,80.6,10.1,35.7,45.8,25.5,14.5,8.4,5.5,4.9,21.4,20.5,8.5
Denver Nuggets,27,18,9,0.667,48.4,110.0,41.4,89.7,46.2,10.2,29.8,34.3,16.9,22.7,74.3,12.2,35.0,47.2,26.8,14.1,8.6,5.0,6.0,20.6,21.5,6.3
Milwaukee Bucks,27,18,9,0.667,48.4,118.1,43.4,91.3,47.6,14.2,40.4,35.2,17.0,22.2,76.6,10.0,40.3,50.3,26.3,15.3,7.2,5.7,4.8,20.8,20.6,8.9
Golden State Warriors,29,19,10,0.655,48.3,115.6,43.1,87.6,49.2,11.9,30.4,39.0,17.5,21.2,82.6,9.6,35.7,45.3,27.9,15.2,7.1,6.4,3.7,22.2,20.3,5.0
Philadelphia 76ers,29,19,10,0.655,48.7,114.2,40.7,87.5,46.5,11.1,31.6,35.3,21.7,28.1,77.4,10.3,37.1,47.3,26.6,16.1,7.2,5.5,4.8,23.4,24.0,2.2
Oklahoma City Thunder,26,17,9,0.654,48.0,111.7,42.0,92.5,45.4,10.1,31.8,31.8,17.5,24.8,70.8,12.8,35.8,48.5,22.9,15.0,10.4,5.7,4.7,22.8,23.4,6.4
Indiana Pacers,28,18,10,0.643,48.0,106.4,40.9,85.7,47.7,9.4,25.1,37.5,15.2,20.5,74.2,8.9,34.9,43.8,24.9,15.3,9.1,5.4,5.8,19.3,19.8,5.1
Boston Celtics,27,17,10,0.63,48.6,111.1,41.3,91.0,45.4,13.2,36.6,36.1,15.3,19.3,79.5,10.6,35.9,46.4,25.3,13.2,8.2,5.0,3.7,21.4,20.6,7.5
LA Clippers,27,17,10,0.63,48.7,115.3,41.2,87.9,46.9,9.2,24.9,37.0,23.6,29.3,80.7,9.8,36.4,46.2,22.4,14.6,6.0,5.3,6.1,22.7,25.1,2.1
Los Angeles Lakers,27,17,10,0.63,48.2,113.1,43.1,91.1,47.4,10.7,30.4,35.0,16.1,22.8,70.6,10.3,36.2,46.6,23.9,15.6,8.4,6.1,5.4,20.8,21.3,2.2
Memphis Grizzlies,27,16,11,0.593,48.7,102.9,37.7,83.1,45.4,9.8,27.4,35.6,17.7,23.4,75.5,7.8,32.1,39.9,23.3,13.7,9.0,6.1,4.9,22.8,22.3,0.9
Dallas Mavericks,26,15,11,0.5770000000000001,48.2,110.2,39.2,85.5,45.9,11.9,33.6,35.4,19.9,26.5,75.1,10.1,35.2,45.3,23.0,16.3,8.0,4.7,4.5,20.1,24.5,2.3
Sacramento Kings,27,15,12,0.556,48.0,115.3,44.1,91.4,48.2,11.2,28.5,39.4,15.9,22.8,69.8,10.4,34.0,44.4,25.5,14.6,8.4,4.5,5.2,22.2,22.1,-0.2
Portland Trail Blazers,28,15,13,0.536,48.2,111.0,40.6,89.4,45.4,10.9,31.0,35.3,18.9,23.1,81.7,11.7,37.4,49.1,20.7,15.0,6.5,4.9,5.9,20.6,20.6,1.2
Charlotte Hornets,27,14,13,0.519,48.4,113.9,41.4,90.9,45.5,11.9,33.6,35.5,19.3,24.0,80.1,9.5,34.3,43.8,23.9,12.1,7.7,5.4,6.9,20.0,22.0,3.2
Detroit Pistons,26,13,13,0.5,48.8,109.0,39.8,91.9,43.3,10.7,33.4,32.1,18.7,25.8,72.4,12.8,34.8,47.5,21.7,14.7,7.0,4.0,5.6,23.6,23.4,-1.2
New Orleans Pelicans,30,15,15,0.5,48.0,117.4,43.7,91.0,48.0,9.9,28.4,34.8,20.1,26.1,77.1,11.6,36.1,47.7,27.2,15.3,7.5,5.5,5.2,22.4,22.9,1.9
San Antonio Spurs,28,14,14,0.5,48.4,110.3,41.5,89.5,46.3,9.4,24.1,38.9,18.0,21.6,83.2,10.4,33.9,44.4,24.0,12.4,6.0,4.2,4.5,18.4,21.3,-2.0
Utah Jazz,29,14,15,0.483,48.0,107.4,39.1,83.5,46.8,10.7,31.8,33.8,18.5,25.9,71.5,9.2,34.0,43.2,24.5,15.9,8.9,5.2,4.4,21.8,23.1,0.4
Minnesota Timberwolves,28,13,15,0.46399999999999997,48.0,110.5,40.5,90.1,44.9,10.5,28.5,36.8,19.0,23.6,80.3,11.2,32.6,43.8,24.0,13.7,9.1,5.7,5.1,19.7,21.7,-0.5
Houston Rockets,26,12,14,0.462,48.4,108.4,38.4,85.7,44.8,14.0,41.7,33.6,17.5,23.3,75.0,11.0,30.0,41.0,21.1,14.7,8.0,5.8,4.6,23.2,20.5,-1.1
Orlando Magic,27,12,15,0.444,48.2,104.6,40.0,89.0,45.0,11.2,31.8,35.2,13.4,17.1,78.3,8.9,33.4,42.3,25.7,13.7,7.0,5.4,5.0,19.8,19.0,-3.4
Miami Heat,27,11,16,0.40700000000000003,48.2,107.2,38.8,89.6,43.3,12.1,33.7,36.0,17.5,24.9,70.3,12.0,35.1,47.1,22.4,15.4,7.8,6.4,6.0,22.6,22.4,-1.3
Washington Wizards,28,11,17,0.39299999999999996,48.5,112.1,41.0,89.1,46.0,10.7,32.8,32.7,19.4,25.8,75.2,9.0,31.8,40.7,24.3,13.9,8.5,5.8,4.8,22.4,23.0,-4.8
Brooklyn Nets,29,11,18,0.379,48.7,109.3,39.6,89.0,44.4,12.1,34.2,35.4,18.1,24.6,73.7,12.2,33.0,45.2,22.4,15.1,6.8,3.9,4.8,23.7,21.8,-1.8
New York Knicks,29,8,21,0.276,48.5,108.3,39.8,90.9,43.8,10.2,29.1,35.0,18.4,23.6,78.1,12.0,33.5,45.5,19.7,14.8,7.1,5.0,6.5,22.7,21.9,-6.6
Cleveland Cavaliers,28,7,21,0.25,48.0,103.4,39.1,87.7,44.6,8.8,24.6,35.5,16.4,20.8,78.9,11.8,32.3,44.0,19.5,13.8,6.7,2.4,5.4,20.9,19.9,-7.8
Atlanta Hawks,27,6,21,0.222,48.0,107.9,39.7,89.7,44.2,11.3,35.6,31.7,17.2,23.2,74.0,10.1,33.7,43.8,24.7,18.4,9.1,5.9,5.4,23.8,23.1,-10.2
Chicago Bulls,28,6,22,0.214,48.5,101.8,38.2,86.7,44.0,9.9,28.9,34.1,15.6,20.0,77.9,7.5,34.1,41.6,22.0,16.0,7.9,4.6,6.5,20.3,18.8,-11.0
Phoenix Suns,28,4,24,0.14300000000000002,48.4,102.2,38.7,85.4,45.3,10.1,30.5,33.3,14.6,18.9,77.7,8.1,32.0,40.0,23.6,16.8,8.3,4.2,4.6,23.6,19.1,-11.9
